step,strain,stress
reloading8,0.0763079711,386.2314593168
reloading8,0.07648538,418.8684310611
reloading8,0.0765762098,449.9536902392
reloading8,0.076839974,482.5879773597
reloading8,0.0770173829,515.224949104
reloading8,0.0771947918,547.8619208483
reloading8,0.077371977,578.9444954026
reloading8,0.0775493859,611.5814671469
reloading8,0.0777267948,644.2184388913
reloading8,0.0779903354,675.2983288217
reloading8,0.0781677442,707.935300566
reloading8,0.0783449294,739.0178751203
reloading8,0.0786086937,771.6521622408
reloading8,0.0789585897,802.7293675474
reloading8,0.0789632878,835.3717085393
reloading8,0.0792268283,866.4515984698
reloading8,0.0794042372,899.0885702141
reloading8,0.0795814224,930.1711447683
reloading8,0.0799313184,961.2483500749
reloading8,0.080108951,995.4397190094
reloading8,0.080458847,1026.516924316
reloading8,0.0805496767,1057.602183494
reloading8,0.0809861518,1090.2311013669
reloading8,0.0813360478,1121.3083066735
reloading8,0.0818586546,1152.3801427325
loading9,0.0829848542,1177.2155976644
loading9,0.0846260543,1180.273384192
loading9,0.0864397414,1181.771404282
loading9,0.0881664019,1178.6089174255
loading9,0.0898935099,1178.5552249491
unloading9,0.0912736303,1167.6314906374
unloading9,0.0911825768,1134.9918342692
unloading9,0.0910915233,1102.3521779011
unloading9,0.0906552719,1071.2776572183
unloading9,0.090477863,1038.640685474
unloading9,0.0903868095,1006.0010291058
unloading9,0.090123269,974.9211391754
unloading9,0.0898595047,942.2868520549
unloading9,0.0897686749,911.2015928768
unloading9,0.0895914897,880.1190183226
unloading9,0.0895004363,847.4793619544
unloading9,0.0893230274,814.8423902101
unloading9,0.0890592631,782.2081030896
unloading9,0.0889684333,751.1228439115
unloading9,0.088704669,718.488556791
unloading9,0.0883549968,688.9657486745
unloading9,0.0882639433,656.3260923063
unloading9,0.0880004027,625.2462023759
unloading9,0.0879093492,592.6065460077
unloading9,0.0875592295,559.974943511
unloading9,0.0872091098,527.3433410143
unloading9,0.0870319247,496.2607664601
unloading9,0.0869406474,462.0667129019
unloading9,0.0866771069,430.9868229714
unloading9,0.0864133426,398.3525358509
unloading9,0.086149802,367.2726459205
unloading9,0.0859723931,334.6356741762
unloading9,0.0857949842,301.9987024318
unloading9,0.0856177991,270.9161278776
unloading9,0.0853540348,238.2818407571
unloading9,0.0850904942,207.2019508266
unloading9,0.0849130853,174.5649790823
unloading9,0.0847354527,140.3736101479
unloading9,0.0845631893,143.4877737757
unloading9,0.0842996488,112.4078838453
unloading9,0.0840358845,79.7735967248
unloading9,0.0837723439,48.6937067943
unloading9,0.0835085796,16.0594196738
